height_map envu: number_of_rows = 40, number_of_columns = 40
my_vehicle->iID = 508
P.y = 18.887901, Pt.y = 0.000000, Q.y = 18.887901, Qt.y = 0.000000, R.y = 18.887901, Rt.y = 0.000000, S.y = 18.887901, St.y = 0.000000
P.y = 18.866217, Pt.y = 0.000000, Q.y = 18.866217, Qt.y = 0.000000, R.y = 18.866217, Rt.y = 0.000000, S.y = 18.866217, St.y = 0.000000
P.y = 18.844322, Pt.y = 0.000000, Q.y = 18.844322, Qt.y = 0.000000, R.y = 18.844322, Rt.y = 0.000000, S.y = 18.844322, St.y = 0.000000
P.y = 18.822218, Pt.y = 0.000000, Q.y = 18.822218, Qt.y = 0.000000, R.y = 18.822218, Rt.y = 0.000000, S.y = 18.822218, St.y = 0.000000
P.y = 18.799904, Pt.y = 0.000000, Q.y = 18.799904, Qt.y = 0.000000, R.y = 18.799904, Rt.y = 0.000000, S.y = 18.799904, St.y = 0.000000
P.y = 18.777382, Pt.y = 0.000000, Q.y = 18.777382, Qt.y = 0.000000, R.y = 18.777382, Rt.y = 0.000000, S.y = 18.777382, St.y = 0.000000
P.y = 18.754650, Pt.y = 0.000000, Q.y = 18.754650, Qt.y = 0.000000, R.y = 18.754650, Rt.y = 0.000000, S.y = 18.754650, St.y = 0.000000
P.y = 18.731709, Pt.y = 0.000000, Q.y = 18.731709, Qt.y = 0.000000, R.y = 18.731709, Rt.y = 0.000000, S.y = 18.731709, St.y = 0.000000
P.y = 18.708557, Pt.y = 0.000000, Q.y = 18.708557, Qt.y = 0.000000, R.y = 18.708557, Rt.y = 0.000000, S.y = 18.708557, St.y = 0.000000
P.y = 18.685196, Pt.y = 0.000000, Q.y = 18.685196, Qt.y = 0.000000, R.y = 18.685196, Rt.y = 0.000000, S.y = 18.685196, St.y = 0.000000
P.y = 18.661627, Pt.y = 0.000000, Q.y = 18.661627, Qt.y = 0.000000, R.y = 18.661627, Rt.y = 0.000000, S.y = 18.661627, St.y = 0.000000
